,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
161,161,2019,10,2019,"Tenure-track positions, department of Astronomy,  Shanghai Jiao Tong University",Faculty Positions (tenure and tenure-track),Shanghai Jiao Tong University,Large Academic,/ad/1c334452,China,
162,162,2021,11,2021,Assistant Professor of Astronomy,Faculty Positions (tenure and tenure-track),Oberlin College and Conservatory,Small Academic,/ad/a6960f36,United States of America,44074
163,163,2020,10,2020,McGill Space Institute Postdoctoral Fellowships,Post-doctoral Positions and Fellowships,McGill University,Large Academic,/ad/84580848,Canada,
164,164,2019,10,2019,Research Associate/Senior Research Associate,Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/f3bc4c4e,United Kingdom of Great Britain and Northern Ireland,CB3 0HA
165,165,2022,2,2021,Laser Interferometry Engineer / Physicist ,Science Engineering,STFC,Research Laboratory,/ad/33d37a3f,United Kingdom of Great Britain and Northern Ireland,
166,166,2019,6,2019,"PhD scholarships in astrophysics at the International Centre for Radio Astronomy Research, UWA",Pre-doctoral/Graduate Positions,"International Centre for Radio Astronomy Research, The University of Western Australia",Large Academic,/ad/2f9e12f4,Australia,
167,167,2021,9,2021,Postdoctoral Prize Fellowships in Experimental Physics or Astrophysics,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/8d9ebbcc,United States of America,
168,168,2022,2,2021,Postdoctoral Teaching Fellow in Planetary Sciences at Wesleyan University,Post-doctoral Positions and Fellowships,Wesleyan University,Small Academic,/ad/c4e11210,United States of America,06459
169,169,2021,11,2021,Dark Matter Research Associate/Fellow,Post-doctoral Positions and Fellowships,The University of Sydney,Other,/ad/4fdcd513,Australia,
170,170,2019,12,2019,Associate Lecturer in high-rate accretion ,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/32a95c37,Australia,6102
171,171,2020,11,2020,Post-doctoral Fellow in Theoretical and Computational Astrophysics in the Department of Physics (Ref.: 502443),Post-doctoral Positions and Fellowships,The University of Hong Kong,Large Academic,/ad/0e3107f8,Hong Kong,
172,172,2022,11,2022,Postdoctoral positions in Laboratory Astrochemistry and Observa-tions of Star/Planet Forming Regions,Post-doctoral Positions and Fellowships,Max-Planck-Institut für extraterrestrische Physik,Foreign,/ad/f63171f5,Germany,
173,173,2021,4,2020,Postdoctoral Position in X-ray Time Domain Astrophysics,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/1e2b4e99,Germany,85748
174,174,2021,2,2020,Deputy Director for Science,Science Management,Lowell Observatory,Other,/ad/21423939,United States of America,86001
175,175,2019,10,2019,Post Doctoral Fellow - Computational Astrophysics,Post-doctoral Positions and Fellowships,Clemson University,Large Academic,/ad/7617a494,United States of America,
176,176,2022,7,2022,MUSE Research Associate,Pre-doctoral/Graduate Positions,Bay Area Environmental Research Institute,Other,/ad/aac22ef6,United States of America,
177,177,2020,12,2020,Senior Lecturer / Associate Professor,Faculty Positions (tenure and tenure-track),Curtin University,Large Academic,/ad/c3509a3a,Australia,6102
178,178,2021,9,2021,Assistant Scientist,Scientific/Technical Staff,National Radio Astronomy Observatory,Research Laboratory,/ad/d0076947,United States of America,22903
179,179,2021,10,2021,Faculty Position in Astrophysics/Astronomy,Faculty Positions (tenure and tenure-track),The University of Memphis,Large Academic,/ad/60fc36b8,United States of America,
180,180,2020,10,2020,Postdoctoral Position in Instrumentation and Independent Research,Post-doctoral Positions and Fellowships,Max Planck Institute for Astronomy,Large Academic,/ad/e7a2e268,Germany,69117
181,181,2021,11,2021,Postdoctoral Fellowship in Time Domain Astronomy,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/3f16894e,United States of America,91125
182,182,2021,12,2021,Director of Fermi National Accelerator Laboratory,Other,Fermi National Accelerator Laboratory,Research Laboratory,/ad/0284b3e5,United States of America,60510
183,183,2019,12,2019,Oort Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,/ad/24a86c94,Netherlands,
184,184,2021,10,2021,"Assistant Professor, JASMINE Project, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan (NAOJ),Foreign,/ad/3a0d747e,Japan,181-8588
185,185,2019,11,2019,Postdoctoral Research Fellowship in  Galaxy Formation and the CGM,Post-doctoral Positions and Fellowships,University of Oslo,Large Academic,/ad/63d9942d,Norway,N-0315
186,186,2023,2,2022,JWST Branch Manager #0007243,Science Management,Space Telescope Science Institute (STScI),Other,/ad/0ae56348,United States of America,Maryland
187,187,2021,2,2020,PDRA Position in Stellar Astrophysics at Armagh Observatory and Planetarium,Post-doctoral Positions and Fellowships,Armagh Observatory and Planetarium,Small Academic,/ad/0ba8a6f6,United Kingdom of Great Britain and Northern Ireland,BT61 9DB
188,188,2022,10,2022,Benoziyo Prize Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Weizmann Institute of Science,Large Academic,/ad/7906f5d4,Israel,7610001
189,189,2021,11,2021,Data Scientist in astronomical imaging and machine learning ,Scientific/Technical Staff,University of Geneva,Foreign,/ad/1195d513,Switzerland,
190,190,2019,8,2019,Post-Doctoral Associate positions in physics and astrophysics,Post-doctoral Positions and Fellowships,New York University Abu Dhabi,Large Academic,/ad/9c9d7ac7,United Arab Emirates,
191,191,2019,12,2019,Research Fellow in Gravitational-Wave Astrophysics x 2,Post-doctoral Positions and Fellowships,University of Portsmouth,Large Academic,/ad/3f52de93,United Kingdom of Great Britain and Northern Ireland,
192,192,2020,11,2020,Assistant Professor in Theoretical or Computational Astrophysics and Cosmology,Faculty Positions (tenure and tenure-track),University of Southern California,Large Academic,/ad/ee9c2df8,United States of America,
193,193,2021,11,2021,Alan Brass Prize Fellowship in Instrumentation and Technology Development,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/550837ce,United States of America,85721
194,194,2019,8,2019,"Ph.D. Fellow on CHEOPS science at the University of Bern, Switzerland",Pre-doctoral/Graduate Positions,University of Bern,Large Academic,/ad/91904737,Switzerland,CH-3012
195,195,2023,1,2022,Visiting Assistant Professor of Physics and Astronomy,Faculty Positions (visiting and non-tenure),Valparaiso University,Small Academic,/ad/aa9d6f70,United States of America,46383
196,196,2020,12,2020,Postdoctoral Researcher - Center for Exoplanets and Habitable Worlds,Post-doctoral Positions and Fellowships,Penn State University,Large Academic,/ad/ec20fb69,United States of America,
197,197,2019,10,2019,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,The University of Texas at San Antonio (UTSA),Large Academic,/ad/6891185a,United States of America,78249
198,198,2022,9,2022,Faculty Positions (Tenure and Tenure track),Faculty Positions (tenure and tenure-track),Yunnan University (YNU),Foreign,/ad/c72269d1,China,650500
199,199,2021,11,2021,ERC-funded Postdoctoral positions in CGM/IGM numerical studies (CosmicWeb Project),Post-doctoral Positions and Fellowships,University of Milan Bicocca,Large Academic,/ad/fac4710f,Italy,
200,200,2019,11,2019,DARK Post-doctoral Fellowships at the Niels Bohr Institute,Post-doctoral Positions and Fellowships,University of Copenhagen - Niels Bohr Institute,Foreign,/ad/0590c659,Denmark,2100
201,201,2021,10,2021,One Postdoctoral Contract LSPE-STRIP 2021 (PS-2021-094),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/9e766670,Spain,
202,202,2022,6,2022,South African Radio Astronomy Observatory Postdoctoral Fellowships Commencing in 2023,Post-doctoral Positions and Fellowships,South African Radio Astronomy Observatory,Government Agency,/ad/362518e4,South Africa,2198
203,203,2020,11,2020,"Postdoc Position in Neutron Star Mergers, General Relativity, and Cosmology",Post-doctoral Positions and Fellowships,Peking University,Large Academic,/ad/1b8c4c9e,China,
204,204,2019,10,2019,Postdoc in Exoplanet Imaging Technology,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory,Research Laboratory,/ad/55de07c5,United States of America,91109
205,205,2023,2,2022,Research Fellow in planet formation and disc evolution,Post-doctoral Positions and Fellowships,University of Warwick,Large Academic,/ad/776db52f,United Kingdom of Great Britain and Northern Ireland,
206,206,2020,3,2019,PhD scholarships in Data Science and Systems Complexity,Pre-doctoral/Graduate Positions,University of Groningen,Large Academic,/ad/19dec2e2,Netherlands,9700 AV
207,207,2022,10,2022,Post-doctoral fellowship in computational extragalactic astrophysics in the JWST era,Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris,Research Laboratory,/ad/d7c59408,France,75014
208,208,2020,9,2020,Faculty position in Astroinformatics and Astrostatistics at Universidad Adolfo Ibanez,Faculty Positions (tenure and tenure-track),Universidad Adolfo Ibanez,Large Academic,/ad/7daf77b3,Chile,
209,209,2023,5,2022,"Lab Coordinator, Physics &amp; Astronomy",Scientific/Technical Staff,Bucknell University,Large Academic,/ad/41e7e259,United States of America,17837
210,210,2019,8,2019,T.C. Chamberlin Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,The University of Chicago,Large Academic,/ad/9ed96893,United States of America,
211,211,2021,2,2020,Archive Science Application Branch Manager #0002074,Science Management,Space Telescope Science Institute,Other,/ad/fd53a132,United States of America,21218
212,212,2019,12,2019,Postdoctoral Position in Supernova Cosmology,Post-doctoral Positions and Fellowships,University of Hawaiʻi at Mānoa,Large Academic,/ad/06bf9ae4,United States of America,
213,213,2021,12,2021,"SOFIA Postdoctoral Researcher, Astronomy",Post-doctoral Positions and Fellowships,SOFIA / Universities Space Research Association,Other,/ad/87363ae7,United States of America,
214,214,2023,4,2022,Research Fellow in Exoplanet Discovery and Stellar Activity,Post-doctoral Positions and Fellowships,Queen's University Belfast,Large Academic,/ad/f785eccc,United Kingdom of Great Britain and Northern Ireland,BT7 1NN
215,215,2022,3,2021,"FONDECYT postdoctoral research projects in Physics, Astronomy, and Physics Education at Universidad Metropolitana de Ciencias de la Educación (UMCE, Santiago, Chile)",Post-doctoral Positions and Fellowships,Universidad Metropolitana de Ciencias de la Educación (UMCE),Small Academic,/ad/b2b4babd,Chile,
216,216,2023,5,2022,Four Exoplanets Postdoctoral Research Positions in Geneva,Post-doctoral Positions and Fellowships,University of Geneva,Large Academic,/ad/4882ccdf,Switzerland,1290
217,217,2019,9,2019,Call for applications for postdoctoral fellowships PSL in astrophysics at Paris Observatory,Post-doctoral Positions and Fellowships,Observatoire de Paris,Large Academic,/ad/8f837435,France,75014
218,218,2019,10,2019,Associate Editor,Other,American Astronomical Society Sky Publishing,Other,/ad/f9ccfcd9,United States of America,02140
219,219,2021,9,2021,Assistant/Associate/Full Professor with expertise in Gravitational Waves and/or multi-messenger astrophysics Job ID 233333,Faculty Positions (tenure and tenure-track),Georgia Institute of Technology,Large Academic,/ad/febdde86,United States of America,30332
220,220,2021,7,2021,NEO Surveyor Staff Scientist ,Scientific/Technical Staff,Caltech/IPAC,Small Academic,/ad/049920dd,United States of America,91125
221,221,2020,1,2019,Postdoc position in exoplanets &amp; statistics,Post-doctoral Positions and Fellowships,University of Geneva,Research Laboratory,/ad/367e4021,Switzerland,1290
222,222,2022,6,2022,Postdoctoral position in theoretical and computational astrophysics,Post-doctoral Positions and Fellowships,Dublin Institute for Advanced Studies,Small Academic,/ad/d40617eb,Ireland,
223,223,2022,8,2022,One Postdoctoral Contract ASTRI 2022 (PS-2022-080),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/a79d2e65,Spain,
224,224,2022,12,2022,Astrophysicist,Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/96adccff,United States of America,
225,225,2023,5,2022,Postdoctoral Associate- Cosmological Physics &amp; Advanced Computing,Post-doctoral Positions and Fellowships,Argonne National Laboratory,Research Laboratory,/ad/c7e638d5,United States of America,60439
226,226,2021,9,2021,"Postdoctoral Research Associate in Galactic Archaeology, Stellar Spectroscopy, Galactic Chemical Evolution, or Spectroscopic Surveys",Post-doctoral Positions and Fellowships,University of Notre Dame / Department of Physics,Small Academic,/ad/c5f15ef6,United States of America,
227,227,2022,10,2022,postdoctoral position in dynamics of proto-planetary disks,Post-doctoral Positions and Fellowships,University of Toronto,Large Academic,/ad/6517fe70,Canada,M5S 3H4
228,228,2022,11,2022,Research Assistant/Associate in Protoplanetary Discs (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/eab9dabd,United Kingdom of Great Britain and Northern Ireland,
229,229,2021,1,2020,Postdoctoral Fellow in Pulsar Astronomy,Post-doctoral Positions and Fellowships,"CSIRO, Astronomy and Space Science",Government Agency,/ad/bcc69a35,Australia,
230,230,2022,3,2021,Software Engineer,Scientific/Technical Staff,Lowell Observatory,Research Laboratory,/ad/e378adae,United States of America,
231,231,2022,11,2022,Radio astronomer,Scientific/Technical Staff,"Computational Physics, Inc.",Industry,/ad/4013d139,United States of America,22151
232,232,2020,8,2020,Postdoctoral Fellow in Mars Atmospheric Science,Post-doctoral Positions and Fellowships,United Arab Emirates University,Large Academic,/ad/7b3d85be,United Arab Emirates,
233,233,2023,2,2022,Tombaugh Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,New Mexico State University,Large Academic,/ad/6ab54f4a,United States of America,88003
